rating,title,quote,rank,participants,link
9.6,肖申克的救赎,希望让人自由。,1,1053153人评价,https://movie.douban.com/subject/1292052/
9.5,霸王别姬,风华绝代。,2,767239人评价,https://movie.douban.com/subject/1291546/
9.4,这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,3,983259人评价,https://movie.douban.com/subject/1295644/
9.4,阿甘正传,一部美国近现代史。,4,837142人评价,https://movie.douban.com/subject/1292720/
9.5,美丽人生,最美的谎言。,5,489422人评价,https://movie.douban.com/subject/1292063/
9.3,千与千寻,最好的宫崎骏，最好的久石让。 ,6,784206人评价,https://movie.douban.com/subject/1291561/
9.3,泰坦尼克号,失去的才是永恒的。 ,7,776302人评价,https://movie.douban.com/subject/1292722/
9.4,辛德勒的名单,拯救一个人，就是拯救整个世界。,8,444400人评价,https://movie.douban.com/subject/1295124/
9.3,盗梦空间,诺兰给了我们一场无法盗取的梦。,9,872950人评价,https://movie.douban.com/subject/3541415/
9.3,机器人总动员,小瓦力，大人生。,10,572707人评价,https://movie.douban.com/subject/2131459/
9.2,三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,11,786371人评价,https://movie.douban.com/subject/3793023/
9.2,海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,12,670655人评价,https://movie.douban.com/subject/1292001/
9.2,忠犬八公的故事,永远都不能忘记你所爱的人。,13,546016人评价,https://movie.douban.com/subject/3011091/
9.2,放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,14,526835人评价,https://movie.douban.com/subject/1291549/
9.2,大话西游之大圣娶亲,一生所爱。,15,576864人评价,https://movie.douban.com/subject/1292213/
9.1,楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,16,550454人评价,https://movie.douban.com/subject/1292064/
9.1,龙猫,人人心中都有个龙猫，童年就永远不会消失。,17,486783人评价,https://movie.douban.com/subject/1291560/
9.2,教父,千万不要记恨你的对手，这样会让你失去理智。,18,394488人评价,https://movie.douban.com/subject/1291841/
9.2,星际穿越,爱是一种力量，让我们超越时空感知它的存在。,19,577834人评价,https://movie.douban.com/subject/1889243/
9.2,熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,20,319937人评价,https://movie.douban.com/subject/5912992/
9.2,触不可及,满满温情的高雅喜剧。,21,428033人评价,https://movie.douban.com/subject/6786002/
9.2,乱世佳人,Tomorrow is another day.,22,305809人评价,https://movie.douban.com/subject/1300267/
9.1,无间道,香港电影史上永不过时的杰作。,23,470792人评价,https://movie.douban.com/subject/1307914/
8.9,当幸福来敲门,平民励志片。 ,24,622767人评价,https://movie.douban.com/subject/1849031/
9.1,天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,25,344212人评价,https://movie.douban.com/subject/1291828/
